State,Name of District ,Name of Location Place,Longitude,Latitude
Tamilnadu,Chennai ,Kathipara Junction ,80.2037,13.0073
Tamilnadu,Chennai ,VadaPalani Junction ,80.212051,13.052192
Tamilnadu,Chennai ,Mount Road (Anna Salai),80.2474897,13.0424317
Tamilnadu,Chennai ,Poonamalle High Road,80.2011935,13.0763388
Tamilnadu,Coimbatore,Gandhipuram Junction ,76.966698,11.020522
Tamilnadu,Coimbatore,Mettupalayam Road,76.940971,11.289087
Tamilnadu,Coimbatore,Avinashi Road,77.268883,11.191447
Tamilnadu,Coimbatore,PeelaMedu Junction ,76.9991° E,11.0332° N
Tamilnadu,Coimbatore,Singanallur Junction,77.0295° E,11.0007° N
Tamilnadu,Madurai ,Periyar Bus stand Junction ,77.7091° E,8.7328° N
Tamilnadu,Madurai ,Anna Nagar Signal Junction ,80.223068,13.01841
Tamilnadu,Madurai ,Arapalayam Junction ,78.1105° E,9.9192° N
Tamilnadu,Madurai ,Simmakal Junction ,78.1215°E,9.9261°N
Tamilnadu,Madurai ,K K Nagar Main Road,80.203394,13.035832
Tamilnadu,Trichy ,Chathiram Bus stand Junction ,78.69333333,10.8313889
Tamilnadu,Trichy ,Palakarai Junction ,78.69583333,10.8088889
Tamilnadu,Trichy ,Thillai nagar main road,78.686676,10.79319
Tamilnadu,Trichy ,Ponnagar Junction ,78.6746127,10.7934482
Tamilnadu,Trichy ,Trichy - Madurai Road ,78.686781,10.798843
Tamilnadu,Salem,Four Roads Junction ,78.147608,11.6632168
Tamilnadu,Salem,Hasthampatti Junction,78.1133° E,11.6703° N
Tamilnadu,Salem,Salem - Bangalore Highway ,78.146011,11.664325
Tamilnadu,Salem,Salem Junction Railway station area,78.11322222,11.6714028
Tamilnadu,Ariyalur ,Ariyalur Town Junction,79.0826431,11.1375959
Tamilnadu,Ariyalur ,Trichy-Ariyalur Road,79.070965,11.131093
Tamilnadu,Ariyalur ,Ariyalur-Jayankondam Road,79.367897,11.218143
Tamilnadu,Ariyalur ,Ariyalur-Puducherry Road,79.07556,11.13849
Tamilnadu,Ariyalur ,Sendurai Road,79.174605,11.255208
Tamilnadu,Chengalpattu ,Chengalpattu Town Junction, 79.9809° E,12.6936° N
Tamilnadu,Chengalpattu ,Thiruporur Road,80.189323,12.725957
Tamilnadu,Cuddalore ,Cuddalore Town Junction,79.7671° E,11.7160° N
Tamilnadu,Cuddalore ,Cuddalore-Pondicherry Road,79.768021,11.744699
Tamilnadu,Dharmapuri ,Dharmapuri-Hosur Road,78.136139,12.106527
Tamilnadu,Dindigul ,Dindigul-Madurai Road,78.015236,10.025405
Tamilnadu,Erode ,Perundurai Road,77.590597,11.268074
Tamilnadu,Kallakuruchi,Ulundurpettai Road,79.287395,11.68491
Tamilnadu,Kancheepuram ,Vandavasi Road,79.602478,12.502883
Tamilnadu,Kanniyakumari,Nagercoil Town Junction,8.2000° N,77.4200° E
Tamilnadu,Karur,Karur Town Junction,78.0853° E,10.9657° N
Tamilnadu,Krishnagiri ,Krishnagiri Town Junction,78.213737,12.518611
Tamilnadu,Mayiladuthurai,Mayiladuthurai Town Junction,79.6285° E,11.0957° N
Tamilnadu,Nilgiris ,Ooty-Coonoor Road,,11.381195
Tamilnadu,Namakkal,Namakkal Town Junction,78.171158,11.229592
Tamilnadu,Perambalur ,Perambalur-Ariyalur Road,78.9004° E,11.2409° N
Tamilnadu,Pudukkottai ,Pudukkottai Town Junction,76.991592,10.997455
Tamilnadu,Ranipet,Arcot Road,80.18484,13.044293
Tamilnadu,Sivagangai,Sivagangai Town Junction,78.483299,9.8667
Tamilnadu,Tenkasi,Tenkasi Town Junction,77.3076° E,8.9642° N
Tamilnadu,Thanjavur ,Thanjavur Town Junction,79.1396° E,10.7782° N
Tamilnadu,Theni,Cumbum Road,77.280739,9.734426
Tamilnadu,Tuticorin ,Tuticorin-Madurai Highway,78.134834,8.764166
Tamilnadu,Tirunelveli ,Tirunelveli Town Junction,77.6874° E,8.7248° N
Tamilnadu,Tirupathur,Tirupathur Town Junction,78.560196,12.498351
Tamilnadu,Tiruppur ,Avinashi Road,77.268883,11.191447
Tamilnadu,Tiruppur ,Palladam Road,77.280739,10.999667
Tamilnadu,Tiruvallur,Tiruvallur Town Junction,79.894005,13.144443
Tamilnadu,Tiruvallur,Arakkonam Road,79.846271,13.035564
Tamilnadu,Tiruvannamalai ,Chengam Road,78.795784,12.306786
Tamilnadu,Tiruvannamalai ,Polur Road,79.126106,12.511665
Tamilnadu,Tiruvarur,Tiruvarur Town Junction,79.6338° E,10.7649° N
Tamilnadu,Tiruvarur,Mannargudi Road,79.4507152,10.6648689
Tamilnadu,Vellore ,Vellore Town Junction,79.146881,12.934968
Tamilnadu,Vellore ,Katpadi Junction,79.1385° E,12.9720° N
Tamilnadu,Villupuram ,Villupuram Town Junction,79.4996° E,11.9420° N
Tamilnadu,Villupuram ,Tindivanam Bypass Road,79.649948,12.236884
Tamilnadu,Virudhunagar ,Virudhunagar Town Junction,77.9575° E,9.5948° N
Tamilnadu,Virudhunagar ,Aruppukottai Road,78.1002°E,9.5139°N
Tamilnadu,Virudhunagar ,Thiruthangal Junction,77.808823,9.481233
